Learning Rate	Train Loss	Train Acc.	Train IOU.	Validate Loss	Validate Acc	Validate IOU	
0.000100	0.249889	0.887922	0.812742	0.274055	0.837030	0.782323	
0.000100	0.249164	0.888202	0.816329	0.282318	0.794142	0.736521	
0.000100	0.248467	0.889422	0.817216	0.267589	0.848393	0.789235	
0.000100	0.244484	0.892612	0.821226	0.256529	0.843927	0.784752	
0.000100	0.249779	0.889035	0.816709	0.281294	0.839959	0.783332	
0.000100	0.249670	0.884932	0.809552	0.275627	0.823331	0.762474	
0.000100	0.252615	0.890447	0.816931	0.311890	0.771083	0.713097	
0.000100	0.247011	0.889043	0.817922	0.268622	0.864991	0.806757	
0.000100	0.250703	0.888571	0.815443	0.265769	0.828567	0.772276	
0.000100	0.245710	0.888678	0.812031	0.285751	0.811077	0.757727	
0.000100	0.248016	0.890133	0.818772	0.263829	0.848405	0.793131	
0.000100	0.246308	0.889624	0.818623	0.285611	0.786496	0.723126	
0.000100	0.248941	0.890173	0.819025	0.267141	0.857854	0.795576	
0.000100	0.250577	0.891286	0.822447	0.270872	0.881096	0.806620	
0.000100	0.245641	0.889226	0.820272	0.268256	0.854807	0.798687	
0.000100	0.247203	0.890005	0.817151	0.270672	0.887265	0.804539	
0.000100	0.250609	0.888597	0.819318	0.270738	0.847752	0.790599	
0.000100	0.247915	0.889117	0.819305	0.247086	0.842773	0.785840	
0.000100	0.247762	0.888885	0.817904	0.276047	0.848524	0.782535	
0.000100	0.247689	0.893347	0.827201	0.274336	0.853099	0.786456	
0.000100	0.252027	0.890807	0.815878	0.277941	0.791426	0.733066	
